_,_,_,_
151
0.00,0.61,0.54,0.57,0.64
0.10,0.61,0.54,0.57,0.64
0.20,0.61,0.53,0.57,0.64
0.30,0.61,0.54,0.58,0.65
0.40,0.61,0.54,0.58,0.65
0.50,0.61,0.54,0.58,0.65
0.60,0.61,0.54,0.58,0.65
0.70,0.61,0.54,0.59,0.65
0.80,0.61,0.54,0.59,0.65
0.90,0.61,0.54,0.58,0.64
1.00,0.61,0.55,0.58,0.64
1.10,0.61,0.54,0.59,0.64
1.20,0.61,0.55,0.59,0.65
1.30,0.61,0.55,0.59,0.65
1.40,0.61,0.55,0.59,0.65
1.50,0.61,0.55,0.59,0.65
1.60,0.61,0.55,0.58,0.65
1.70,0.61,0.55,0.59,0.65
1.80,0.61,0.55,0.58,0.65
1.90,0.61,0.55,0.58,0.65
2.00,0.61,0.55,0.59,0.64
2.10,0.61,0.54,0.59,0.65
2.20,0.61,0.54,0.59,0.65
2.30,0.61,0.54,0.59,0.65
2.40,0.61,0.54,0.59,0.65
2.50,0.61,0.53,0.59,0.65
2.60,0.61,0.53,0.59,0.65
2.70,0.61,0.54,0.59,0.65
2.80,0.61,0.53,0.59,0.66
2.90,0.61,0.54,0.58,0.65
3.00,0.61,0.54,0.57,0.65
3.10,0.61,0.54,0.57,0.65
3.20,0.61,0.54,0.57,0.65
3.30,0.61,0.54,0.57,0.66
3.40,0.61,0.54,0.57,0.66
3.50,0.61,0.54,0.57,0.67
3.60,0.61,0.54,0.57,0.67
3.70,0.61,0.55,0.58,0.67
3.80,0.61,0.55,0.57,0.68
3.90,0.61,0.55,0.57,0.68
4.00,0.61,0.55,0.57,0.67
4.10,0.60,0.55,0.57,0.68
4.20,0.60,0.55,0.57,0.68
4.30,0.60,0.56,0.57,0.68
4.40,0.60,0.57,0.57,0.68
4.50,0.60,0.58,0.58,0.66
4.60,0.60,0.57,0.58,0.66
4.70,0.60,0.57,0.58,0.66
4.80,0.60,0.57,0.57,0.66
4.90,0.60,0.57,0.57,0.67
5.00,0.61,0.57,0.57,0.68
5.10,0.61,0.57,0.58,0.68
5.20,0.61,0.57,0.58,0.69
5.30,0.61,0.57,0.58,0.69
5.40,0.61,0.57,0.58,0.69
5.50,0.61,0.57,0.58,0.69
5.60,0.61,0.57,0.58,0.69
5.70,0.61,0.57,0.58,0.70
5.80,0.61,0.57,0.58,0.70
5.90,0.61,0.57,0.58,0.70
6.00,0.61,0.57,0.58,0.69
6.10,0.61,0.57,0.57,0.70
6.20,0.61,0.57,0.57,0.69
6.30,0.61,0.57,0.56,0.69
6.40,0.61,0.57,0.54,0.68
6.50,0.61,0.57,0.53,0.69
6.60,0.61,0.57,0.53,0.69
6.70,0.61,0.57,0.53,0.69
6.80,0.61,0.57,0.52,0.69
6.90,0.61,0.57,0.53,0.68
7.00,0.61,0.57,0.53,0.68
7.10,0.61,0.57,0.53,0.69
7.20,0.61,0.58,0.53,0.69
7.30,0.61,0.58,0.53,0.69
7.40,0.61,0.58,0.52,0.69
7.50,0.61,0.58,0.52,0.69
7.60,0.61,0.58,0.53,0.70
7.70,0.61,0.58,0.52,0.70
7.80,0.61,0.58,0.52,0.70
7.90,0.61,0.58,0.52,0.69
8.00,0.61,0.57,0.52,0.70
8.10,0.61,0.57,0.51,0.69
8.20,0.61,0.57,0.52,0.69
8.30,0.61,0.57,0.52,0.69
8.40,0.61,0.57,0.52,0.69
8.50,0.61,0.57,0.52,0.69
8.60,0.60,0.57,0.52,0.70
8.70,0.61,0.57,0.52,0.69
8.80,0.61,0.57,0.52,0.70
8.90,0.61,0.58,0.52,0.70
9.00,0.61,0.58,0.52,0.70
9.10,0.61,0.58,0.52,0.70
9.20,0.61,0.58,0.52,0.70
9.30,0.61,0.58,0.52,0.70
9.40,0.61,0.58,0.52,0.70
9.50,0.60,0.58,0.52,0.70
9.60,0.60,0.58,0.52,0.67
9.70,0.60,0.58,0.52,0.68
9.80,0.60,0.58,0.52,0.68
9.90,0.60,0.58,0.52,0.69
10.00,0.60,0.58,0.52,0.69
10.10,0.61,0.58,0.52,0.69
10.20,0.61,0.58,0.52,0.68
10.30,0.61,0.58,0.52,0.68
10.40,0.60,0.58,0.52,0.68
10.50,0.60,0.58,0.52,0.68
10.60,0.60,0.58,0.51,0.68
10.70,0.60,0.58,0.52,0.68
10.80,0.60,0.56,0.52,0.68
10.90,0.60,0.56,0.52,0.68
11.00,0.60,0.56,0.52,0.68
11.10,0.60,0.56,0.52,0.68
11.20,0.60,0.56,0.52,0.68
11.30,0.60,0.56,0.52,0.68
11.40,0.61,0.56,0.52,0.68
11.50,0.61,0.56,0.52,0.68
11.60,0.61,0.55,0.52,0.68
11.70,0.61,0.55,0.53,0.67
11.80,0.61,0.56,0.53,0.68
11.90,0.61,0.56,0.53,0.68
